Longitude,Latitude,ScientificName,SiteVisitID,Month-year,StartDate,EndDate,SiteID,SiteCode,LocalityDetails,LocationPrecision,ProjectID,ProjectName,OrganisationID,OrganisationName,OrganisationAcronym
152.1777,-27.54794,Phascolarctos cinereus,1486057,Mar-18,15/3/2018,15/3/2018,1318795,INCIDENTAL,"Grantham, QLD, 6.5km N of Evans Hill, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
152.17782,-27.54799,Phascolarctos cinereus,1486058,Mar-18,15/3/2018,15/3/2018,1318796,INCIDENTAL,"Grantham, QLD, 6.5km N of Evans Hill, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
152.17783,-27.54809,Phascolarctos cinereus,1486059,Mar-18,15/3/2018,15/3/2018,1318797,INCIDENTAL,"Grantham, QLD, 6.5km N of Evans Hill, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
152.1777,-27.54764,Phascolarctos cinereus,1486060,Mar-18,15/3/2018,15/3/2018,1318798,INCIDENTAL,"Grantham, QLD, 6.5km N of Evans Hill, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
152.17751,-27.54775,Phascolarctos cinereus,1486061,Mar-18,15/3/2018,15/3/2018,1318799,INCIDENTAL,"Grantham, QLD, 6.5km N of Evans Hill, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
152.17755,-27.5478,Phascolarctos cinereus,1486062,Mar-18,15/3/2018,15/3/2018,1318800,INCIDENTAL,"Grantham, QLD, 6.5km N of Evans Hill, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
152.8359194,-26.12448333,Phascolarctos cinereus,1508052,Mar-18,17/3/2018,,1338069,INCIDENTAL,"822 Tagigan Road, Wolvi",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.04806,-27.65045,Phascolarctos cinereus,1965775,Mar-18,24/3/2018,24/3/2018,1723275,INCIDENTAL,Stockyard,50,17081,Koala Project,3721,Lockyer Uplands Catchments Inc,LUCI
152.04719,-27.65048,Phascolarctos cinereus,1965776,Mar-18,24/3/2018,24/3/2018,1723276,INCIDENTAL,Stockyard,50,17081,Koala Project,3721,Lockyer Uplands Catchments Inc,LUCI
152.04453,-27.65174,Phascolarctos cinereus,1965777,Mar-18,24/3/2018,24/3/2018,1723277,INCIDENTAL,Stockyard,50,17081,Koala Project,3721,Lockyer Uplands Catchments Inc,LUCI
152.012762,-27.57146,Phascolarctos cinereus,1486079,Mar-18,27/3/2018,27/3/2018,1318816,INCIDENTAL,"Withcott, QLD. 1.5km North of Mt Tabletop, Southeast Queensland",10,14841,Lockyer Community Action Group records,3163,Lockyer Community Action Inc.,LCA
