ld,Record No,Koala Name,Date,Year,Call Date Time,LAT,LNG,Adult Fate Other,Adult Size,Adult Gender,Adult Situation,Young Present,Adult Fate,Young Fate Other,Koala Found Address,Koala Post Code,LGA,Sick,Injured,Caused By Dog,Orphaned,Under Threat,Dead,Conjunctivitis,Cystitis,Wasted,Vehicle Hit,Road Speed Limit,Fall,Injury Other,Field Comments
6413,A 76569,HARLEY,Apr-22,2022,2022-04-20T00:00:00,-27.82302,153.05248,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,273 Edelsten Road,4280,Logan City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
6385,A 74693,SKEETER,Apr-22,2022,2022-04-03T00:00:00,-26.1292587,152.8650206,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,217 Counter Road,4570,Gympie Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6393,A 74694,DOA,Apr-22,2022,2022-04-06T00:00:00,-26.3979531,152.6460953,AWH,Adult (More than 4kg),,On ground,FALSE,Hospital,,Sterling Road,4570,Gympie Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,,
6399,A 74696,GILBERT,Apr-22,2022,2022-04-11T00:00:00,-26.1292587,152.8650206,AWH,Adult (More than 4kg),,In tree,FALSE,Hospital,,217 Counter Road,4570,Gympie Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
6383,,LUCKY BOI,Apr-22,2022,2022-04-02T00:00:00,-28.14258,153.4464,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,41 Forest Drive,4221,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
6387,,STELLA,Apr-22,2022,2022-04-03T00:00:00,-28.0961297,153.4533186,CWS,Sub-Adult (2-4kg),,Other,FALSE,Hospital,,Burleigh National Park,4220,Gold Coast City ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,,
6389,,DOA,Apr-22,2022,2022-04-04T00:00:00,-28.1009174,153.4395536,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,Reedy Creek Road,4220,Gold Coast City ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,,
6391,,NUCHACHO,Apr-22,2022,2022-04-05T00:00:00,-28.1583385,153.4278587,CWS,Adult (More than 4kg),,In tree,FALSE,Hospital,,30 Mary Bale Drive,4228,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
6401,,ISHMAEL FRANKLIN1,Apr-22,2022,2022-04-12T00:00:00,-28.14273,153.44832,CWS,Adult (More than 4kg),,In tree,FALSE,Hospital,,7 Forest Drive,4221,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
6414,,EOA,Apr-22,2022,2022-04-20T00:00:00,-27.90614,153.38348,CWS,Adult (More than 4kg),,In tree,FALSE,Hospital,,57 Kangaroo Avenue,4216,Gold Coast City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
